City_Alt,Population_x,Total Points,Obesity Rank
"FEDERAL WAY, WA",94905.0,1.9,26.7
"LAS VEGAS, NV",621662.0,1.6,27.3
"MELBOURNE, FL",79640.0,1.2,27.3
"KENT, WA",126561.0,1.3,27.4
"CHARLESTON, SC",131204.0,1.4,27.4
"ATHENS, GA",122292.0,2.3,27.5
"BROKEN ARROW, OK",106264.0,1.3,27.5
"BELLINGHAM, WA",85388.0,2.1,27.6
"ANCHORAGE, AK",298225.0,1.8,27.6
"SANTA ANA, CA",334493.0,1.6,27.6
"VIRGINIA BEACH, VA",450057.0,1.4,27.7
"ALBUQUERQUE, NM",556718.0,1.6,27.7
"JERSEY CITY, NJ",265932.0,1.5,27.8
"ATLANTA, GA",465230.0,1.5,27.9
"RALEIGH, NC",449477.0,1.5,27.9
"RAPID CITY, SD",72841.0,1.9,28.0
"MESA, AZ",479317.0,1.3,28.0
"LIVONIA, MI",94708.0,1.4,28.0
"SACRAMENTO, CA",489650.0,1.7,28.1
"COLUMBIA, MO",118620.0,1.7,28.1
"RIVERSIDE, CA",321570.0,1.4,28.1
"MEDFORD, OR",79246.0,1.9,28.1
"NASHUA, NH",87642.0,1.4,28.2
"TALLAHASSEE, FL",188463.0,1.4,28.4
"FORT LAUDERDALE, FL",177175.0,2.1,28.4
"WORCESTER, MA",184743.0,1.4,28.5
"TAMPA, FL",368087.0,1.5,28.5
"BEAVERTON, OR",95710.0,1.6,28.5
"LINCOLN, NE",277315.0,2.7,28.7
"WARWICK, RI",81218.0,1.2,28.7
"LAS CRUCES, NM",101014.0,1.5,28.8
"WAUKESHA, WI",72173.0,1.9,28.9
"TUCSON, AZ",530905.0,2.9,29.0
"CHAMPAIGN, IL",85710.0,1.8,29.0
"CHARLOTTE, NC",826060.0,1.4,29.1
"CHEYENNE, WY",62986.0,1.2,29.2
"HOOVER, AL",84150.0,1.4,29.2
"WEST VALLEY CITY, UT",135546.0,1.1,29.2
"SANTA MARIA, CA",104791.0,2.8,29.2
"HILLSBORO, OR",102396.0,2.3,29.2
"PHILADELPHIA, PA",1569657.0,2.0,29.3
"BAKERSFIELD, CA",372680.0,1.2,29.3
"MANCHESTER, NH",110601.0,1.4,29.5
"BILLINGS, MT",109082.0,2.4,29.5
"MIAMI, FL",443007.0,1.4,29.5
"PROVIDENCE, RI",179509.0,3.0,29.6
"DULUTH, MN",86066.0,1.7,29.7
"MURFREESBORO, TN",126188.0,1.7,29.7
"ORLANDO, FL",269414.0,2.3,29.7
"GLENDALE, AZ",241543.0,1.6,29.8
"FAYETTEVILLE, AR",81889.0,3.1,29.8
"AVONDALE, AZ",81590.0,1.5,29.9
"NORMAN, OK",119820.0,1.6,30.0
"PITTSBURGH, PA",305012.0,1.8,30.0
"PHOENIX, AZ",1574421.0,1.5,30.1
"APPLETON, WI",73832.0,1.8,30.2
"TULSA, OK",401352.0,1.5,30.3
"MOUNT VERNON, NY",68671.0,1.4,30.5
"STOCKTON, CA",304358.0,1.5,30.5
"SPOKANE, WA",212982.0,1.7,30.6
"PAWTUCKET, RI",71770.0,1.4,30.6
"DURHAM, NC",257232.0,2.7,30.7
"STERLING HEIGHTS, MI",131996.0,1.5,30.9
"ALBANY, NY",98498.0,1.4,31.0
"VANCOUVER, WA",171393.0,1.7,31.1
"INDEPENDENCE, MO",117369.0,1.7,31.2
"WICHITA, KS",389054.0,1.8,31.3
"JACKSONVILLE, FL",867313.0,1.2,31.3
"SCRANTON, PA",76624.0,1.4,31.4
"O'FALLON, MO",85246.0,1.4,31.4
"SIOUX FALLS, SD",170401.0,1.5,31.5
"COLUMBIA, SC",132236.0,1.3,31.5
"NASHVILLE, TN",654187.0,2.1,31.6
"BRIDGEPORT, CT",147586.0,1.3,31.7
"TUSCALOOSA, AL",97373.0,1.4,31.8
"ARLINGTON, TX",388225.0,1.3,31.9
"FARGO, ND",118099.0,1.9,32.0
"COLUMBUS, OH",852144.0,1.8,32.0
"NEW HAVEN, CT",130884.0,1.6,32.0
"KNOXVILLE, TN",184465.0,2.4,32.1
"CEDAR RAPIDS, IA",130330.0,1.7,32.2
"SAN BERNARDINO, CA",215252.0,1.1,32.3
"SPRINGFIELD, MO",165785.0,1.9,32.4
"LEXINGTON, KY",315109.0,1.5,32.4
"HUNTSVILLE, AL",190501.0,2.8,32.6
"DAVENPORT, IA",102268.0,1.6,32.6
"TACOMA, WA",207280.0,1.6,32.6
"HOUSTON, TX",2267336.0,1.4,32.6
"LAFAYETTE, LA",126476.0,1.3,32.6
"RICHMOND, VA",220892.0,1.7,32.6
"NORFOLK, VA",245752.0,1.3,32.7
"OKLAHOMA CITY, OK",629191.0,1.3,32.7
"DES MOINES, IA",214778.0,1.7,32.8
"CHESAPEAKE, VA",235410.0,1.3,32.8
"INDIANAPOLIS, IN",853431.0,2.5,32.9
"KANSAS CITY, MO",476974.0,1.5,33.0
"CHICAGO, IL",2722586.0,2.0,33.0
"CONCORD, NC",87607.0,1.1,33.1
"OMAHA, NE",463081.0,1.7,33.2
"FORT WORTH, TX",835129.0,1.6,33.4
"KENNER, LA",67253.0,1.3,33.5
"NEWPORT NEWS, VA",180775.0,1.5,33.6
"ROANOKE, VA",99572.0,1.6,33.7
"SAVANNAH, GA",145094.0,1.4,33.7
"FRESNO, CA",519037.0,1.3,33.7
"CHATTANOOGA, TN",176291.0,1.6,33.7
"BATON ROUGE, LA",227549.0,1.3,33.8
"WATERBURY, CT",109250.0,1.0,33.8
"NEW ORLEANS, LA",388182.0,3.0,33.8
"GRAND RAPIDS, MI",195355.0,1.5,33.9
"GREEN BAY, WI",104796.0,1.8,34.0
"WARREN, MI",135147.0,1.5,34.0
"SALEM, OR",163654.0,1.5,34.0
"LITTLE ROCK, AR",197780.0,1.7,34.2
"FAYETTEVILLE, NC",210324.0,1.3,34.2
"LOUISVILLE, KY",615478.0,1.4,34.2
"COLUMBUS, GA",198647.0,1.1,34.3
"AURORA, IL",200946.0,2.0,34.4
"EL PASO, TX",678266.0,1.2,34.5
"FORT WAYNE, IN",262450.0,1.9,34.8
"FORT SMITH, AR",87537.0,1.7,35.0
"YUMA, AZ",93851.0,1.5,35.2
"JONESBORO, AR",73581.0,1.1,35.2
"DALLAS, TX",1300122.0,1.4,35.2
"BALTIMORE, MD",619796.0,2.8,35.3
"PEORIA, IL",115424.0,1.6,35.3
"GREENSBORO, NC",284816.0,1.3,35.5
"SPRINGFIELD, IL",116313.0,1.4,35.6
"AUGUSTA, GA",196899.0,1.2,35.6
"HARTFORD, CT",124390.0,1.5,35.7
"AKRON, OH",198252.0,1.2,35.7
"SPRINGDALE, AR",77252.0,3.0,35.7
"SYRACUSE, NY",144405.0,1.5,35.8
"SIOUX CITY, IA",82568.0,1.3,36.2
"SPRINGFIELD, MA",154613.0,1.2,36.2
"EVANSVILLE, IN",119806.0,1.6,36.2
"CINCINNATI, OH",298957.0,1.6,36.3
"ROCKFORD, IL",148640.0,1.3,36.3
"HIGH POINT, NC",109849.0,1.3,36.3
"MONTGOMERY, AL",200761.0,1.4,36.4
"WILMINGTON, DE",71276.0,1.6,36.4
"BUFFALO, NY",259574.0,2.5,36.4
"NEWARK, NJ",282803.0,1.2,36.4
"CLARKSVILLE, TN",147771.0,1.1,36.5
"TOPEKA, KS",127139.0,1.5,36.6
"WINSTON-SALEM, NC",240193.0,1.4,36.7
"CHARLESTON, WV",49384.0,1.6,37.0
"CORPUS CHRISTI, TX",322726.0,1.3,37.2
"MILWAUKEE, WI",599086.0,2.8,37.2
"TOLEDO, OH",279455.0,1.4,37.3
"RACINE, WI",77740.0,1.6,37.4
"KALAMAZOO, MI",75833.0,1.9,37.4
"JOLIET, IL",148172.0,1.5,37.6
"SAN ANTONIO, TX",1461623.0,1.5,37.8
"ERIE, PA",98970.0,1.6,38.0
"LANSING, MI",115222.0,1.8,38.1
"ALBANY, GA",74892.0,0.9,38.4
"SOUTH BEND, IN",101928.0,2.0,38.6
"ROCHESTER, NY",209463.0,2.6,38.9
"TRENTON, NJ",84867.0,1.3,38.9
"MOBILE, AL",192085.0,1.3,39.0
"HAMMOND, IN",77827.0,1.4,39.1
"GULFPORT, MS",71318.0,1.2,39.1
"PATERSON, NJ",147890.0,1.0,39.1
"LAKE CHARLES, LA",75194.0,1.2,39.1
"CLEVELAND, OH",388812.0,1.7,39.2
"CANTON, OH",71763.0,1.3,40.1
"MEMPHIS, TN",654723.0,2.8,40.5
"YOUNGSTOWN, OH",64852.0,1.0,41.0
"BIRMINGHAM, AL",212265.0,1.5,41.7
"DAYTON, OH",140939.0,1.4,42.3
"SHREVEPORT, LA",196217.0,1.2,42.6
"CAMDEN, NJ",75550.0,1.5,42.9
"MACON, GA",153621.0,1.1,43.1
"KANSAS CITY, KS",151042.0,1.6,43.6
"JACKSON, MS",170393.0,1.2,43.6
"FLINT, MI",97810.0,1.5,45.0
"DETROIT, MI",679865.0,1.6,47.0
"GARY, IN",77416.0,1.7,49.1
